orien_mechanism_and_cause,x,y,b15_code,b15_description,b2_sub_codes,b2_sub_names,b3_sub_codes,b3_sub_names,b3_candidate_count,confidence,proposer,needs_review
Corrodes due to Exposure to high temperature environment,Corrodes,Exposure to high temperature environment,Corroded,Material degradation due to corrosion.,"2.2,2.7","Corrosion,Overheating",3.4,Environment,1,high,rule,
Corrodes due to Exposure to liquid metal,Corrodes,Exposure to liquid metal,Corroded,Material degradation due to corrosion.,2.2,Corrosion,3.4,Environment,1,high,rule,
Corrodes due to Poor electrical connections,Corrodes,Poor electrical connections,Corroded,Material degradation due to corrosion.,2.2,Corrosion,"1.5,2.3","Installation error,Maintenance error",2,medium,rule,Y
Corrodes due to Poor electrical insulation,Corrodes,Poor electrical insulation,Corroded,Material degradation due to corrosion.,2.2,Corrosion,"1.4,2.3","Material defect,Maintenance error",2,medium,rule,Y
Cracks due to Age,Cracks,Age,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.4","Breakage,Wear",4.3,Unknown,1,high,rule,
Cracks due to Cyclic loading (thermal/mechanical),Cracks,Cyclic loading (thermal/mechanical),Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.6","Breakage,Fatigue","1.1,2.1","Design error,Operating error",2,medium,rule,Y
Cracks due to Excessive temperature,Cracks,Excessive temperature,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.7","Breakage,Overheating","3.4,2.1","Environment,Operating error",2,medium,rule,Y
Cracks due to High temperature in corrosive environment,Cracks,High temperature in corrosive environment,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.2,2.7","Breakage,Corrosion,Overheating",3.4,Environment,1,high,rule,
Cracks due to Impact/shock loading,Cracks,Impact/shock loading,Cracked/fractured/broken,Presence of crack or breakage in a component.,2.5,Breakage,3.3,Impact,1,high,rule,
Cracks due to Thermal stresses (heat/cold),Cracks,Thermal stresses (heat/cold),Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.6","Breakage,Fatigue","3.4,1.1","Environment,Design error",2,medium,rule,Y
Degrades due to Age,Degrades,Age,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,4.3,Unknown,1,high,rule,
Degrades due to Chemical attack,Degrades,Chemical attack,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.2","Wear,Corrosion",3.4,Environment,1,high,rule,
Degrades due to Chemical reaction,Degrades,Chemical reaction,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.2","Wear,Corrosion",3.4,Environment,1,high,rule,
Degrades due to Contamination,Degrades,Contamination,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,5.2","Wear,Contamination",3.1,Contamination,1,high,rule,
Degrades due to Electrical arcing,Degrades,Electrical arcing,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,4.1","Wear,Short circuiting","1.4,2.3,2.1","Material defect,Maintenance error,Operating error",3,medium,rule,Y
Degrades due to Entrained air,Degrades,Entrained air,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.1","Wear,Cavitation","1.1,2.1","Design error,Operating error",2,medium,rule,Y
Degrades due to Exposure to excessive temperature,Degrades,Exposure to excessive temperature,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.7","Wear,Overheating",3.4,Environment,1,high,rule,
Degrades due to Radiation,Degrades,Radiation,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,3.4,Environment,1,high,rule,
Degrades due to Use,Degrades,Use,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,4.3,Unknown,1,high,rule,
Distorts due to Impact/shock loading,Distorts,Impact/shock loading,Deformed,"Permanent shape change such as bending, buckling or yielding.","1.4,2.5","Deformation,Breakage",3.3,Impact,1,high,rule,
Distorts due to Mechanical overload,Distorts,Mechanical overload,Deformed,"Permanent shape change such as bending, buckling or yielding.",1.4,Deformation,"2.1,1.1","Operating error,Design error",2,medium,rule,Y
Distorts due to Off-center loading,Distorts,Off-center loading,Deformed,"Permanent shape change such as bending, buckling or yielding.",1.4,Deformation,"1.5,2.1","Installation error,Operating error",2,medium,rule,Y
Distorts due to Use,Distorts,Use,Deformed,"Permanent shape change such as bending, buckling or yielding.","1.4,2.4","Deformation,Wear",4.3,Unknown,1,high,rule,
Drifts due to Excessive temperature (hot/cold),Drifts,Excessive temperature (hot/cold),Out of adjustment/calibration drift,Parameter has drifted out of tolerance.,"3.4,2.7","Out of adjustment,Overheating","3.4,2.1","Environment,Operating error",2,medium,rule,Y
Drifts due to Impact/shock loading,Drifts,Impact/shock loading,Out of adjustment/calibration drift,Parameter has drifted out of tolerance.,"3.4,2.5","Out of adjustment,Breakage",3.3,Impact,1,high,rule,
Drifts due to Stray current,Drifts,Stray current,Out of adjustment/calibration drift,Parameter has drifted out of tolerance.,"3.4,2.2","Out of adjustment,Corrosion",3.4,Environment,1,high,rule,
Drifts due to Uneven loading,Drifts,Uneven loading,Out of adjustment/calibration drift,Parameter has drifted out of tolerance.,3.4,Out of adjustment,"1.5,2.1","Installation error,Operating error",2,medium,rule,Y
Drifts due to Use,Drifts,Use,Out of adjustment/calibration drift,Parameter has drifted out of tolerance.,"3.4,2.4","Out of adjustment,Wear",4.3,Unknown,1,high,rule,
Expires due to Age,Expires,Age,Miscellaneous,Failure mode not otherwise classified.,2.4,Wear,4.3,Unknown,1,high,rule,
Immobilised (binds/jams) due to Contamination,Immobilised (binds/jams),Contamination,Seized/jammed/stuck,Component does not move as intended due to seizure/jamming.,"1.6,5.2","Sticking,Contamination",3.1,Contamination,1,high,rule,
Immobilised (binds/jams) due to Lack of lubrication,Immobilised (binds/jams),Lack of lubrication,Seized/jammed/stuck,Component does not move as intended due to seizure/jamming.,"1.6,2.4","Sticking,Wear",2.3,Maintenance error,1,high,rule,
Loses Preload due to Creep,Loses Preload,Creep,Loose/disconnected,Loss of mechanical or electrical connection.,"1.5,1.4","Looseness,Deformation","3.4,1.1","Environment,Design error",2,medium,rule,Y
Loses Preload due to Excessive temperature,Loses Preload,Excessive temperature,Loose/disconnected,Loss of mechanical or electrical connection.,"1.5,2.7","Looseness,Overheating","3.4,2.1","Environment,Operating error",2,medium,rule,Y
Loses Preload due to Vibration,Loses Preload,Vibration,Loose/disconnected,Loss of mechanical or electrical connection.,"1.5,1.2","Looseness,Vibration","1.1,1.5,2.3","Design error,Installation error,Maintenance error",3,medium,rule,Y
Open-Circuit due to Electrical overload,Open-Circuit,Electrical overload,Open circuit,Break in electrical continuity.,"4.2,4.1","Open circuit,Short circuiting","2.1,1.1","Operating error,Design error",2,medium,rule,Y
Overheats/Melts due to Contamination,Overheats/Melts,Contamination,Overheating,Excess temperature causing malfunction or damage.,"2.7,5.2","Overheating,Contamination",3.1,Contamination,1,high,rule,
Overheats/Melts due to Electrical overload,Overheats/Melts,Electrical overload,Overheating,Excess temperature causing malfunction or damage.,"2.7,4.1","Overheating,Short circuiting","2.1,1.1","Operating error,Design error",2,medium,rule,Y
Overheats/Melts due to Lack of lubrication,Overheats/Melts,Lack of lubrication,Overheating,Excess temperature causing malfunction or damage.,"2.7,2.4","Overheating,Wear",2.3,Maintenance error,1,high,rule,
Overheats/Melts due to Mechanical overload,Overheats/Melts,Mechanical overload,Overheating,Excess temperature causing malfunction or damage.,2.7,Overheating,"2.1,1.1","Operating error,Design error",2,medium,rule,Y
Overheats/Melts due to Relative movement between contacting surfaces,Overheats/Melts,Relative movement between contacting surfaces,Overheating,Excess temperature causing malfunction or damage.,"2.7,2.4","Overheating,Wear",2.3,Maintenance error,1,high,rule,
Overheats/Melts due to Rubbing,Overheats/Melts,Rubbing,Overheating,Excess temperature causing malfunction or damage.,"2.7,2.4","Overheating,Wear",2.3,Maintenance error,1,high,rule,
"Severs (cut, tear, hole) due to Abrasion","Severs (cut, tear, hole)",Abrasion,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.4,2.5","Wear,Breakage",3.1,Contamination,1,high,rule,
"Severs (cut, tear, hole) due to Impact/shock loading","Severs (cut, tear, hole)",Impact/shock loading,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.4,2.5","Wear,Breakage",3.3,Impact,1,high,rule,
"Severs (cut, tear, hole) due to Mechanical overload","Severs (cut, tear, hole)",Mechanical overload,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.4,2.5","Wear,Breakage","2.1,1.1","Operating error,Design error",2,medium,rule,Y
Short-Circuits due to Breakdown in insulation,Short-Circuits,Breakdown in insulation,Electrical short,Unintended conductive path resulting in short circuit.,4.1,Short circuiting,"1.4,2.3,2.1","Material defect,Maintenance error,Operating error",3,medium,rule,Y
Short-Circuits due to Contamination,Short-Circuits,Contamination,Electrical short,Unintended conductive path resulting in short circuit.,"4.1,5.2","Short circuiting,Contamination",3.1,Contamination,1,high,rule,
"Thermally Overloads (burns, overheats, melts) due to Mechanical overload","Thermally Overloads (burns, overheats, melts)",Mechanical overload,Overheating,Excess temperature causing malfunction or damage.,2.7,Overheating,"2.1,1.1","Operating error,Design error",2,medium,rule,Y
"Thermally Overloads (burns, overheats, melts) due to Overcurrent","Thermally Overloads (burns, overheats, melts)",Overcurrent,Overheating,Excess temperature causing malfunction or damage.,"2.7,4.1","Overheating,Short circuiting","2.1,1.1","Operating error,Design error",2,medium,rule,Y
Washes Off due to Excessive fluid velocity,Washes Off,Excessive fluid velocity,Eroded,Material removal due to erosion.,2.3,Erosion,"1.1,2.1","Design error,Operating error",2,medium,rule,Y
Washes Off due to Use,Washes Off,Use,Eroded,Material removal due to erosion.,"2.3,2.4","Erosion,Wear",4.3,Unknown,1,high,rule,
Wears due to Breakdown of lubrication,Wears,Breakdown of lubrication,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,"2.3,1.2","Maintenance error,Specification error",2,medium,rule,Y
Wears due to Entrained air,Wears,Entrained air,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.1","Wear,Cavitation","1.1,2.1","Design error,Operating error",2,medium,rule,Y
Wears due to Excessive fluid velocity,Wears,Excessive fluid velocity,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.3","Wear,Erosion","1.1,2.1","Design error,Operating error",2,medium,rule,Y
Wears due to Impact/shock loading,Wears,Impact/shock loading,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.5","Wear,Breakage",3.3,Impact,1,high,rule,
Wears due to Low pressure,Wears,Low pressure,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,2.1","Wear,Cavitation","1.1,2.1,2.3","Design error,Operating error,Maintenance error",3,medium,rule,Y
Wears due to Lubricant contamination (particles),Wears,Lubricant contamination (particles),Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).","2.4,5.2","Wear,Contamination",3.1,Contamination,1,high,rule,
Wears due to Mechanical overload,Wears,Mechanical overload,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,"2.1,1.1","Operating error,Design error",2,medium,rule,Y
Wears due to Metal to metal contact,Wears,Metal to metal contact,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,2.3,Maintenance error,1,high,rule,
Wears due to Relative movement between contacting surfaces,Wears,Relative movement between contacting surfaces,Worn,"Material removal/deterioration causing loss of function (e.g., wear, scoring, fretting).",2.4,Wear,2.3,Maintenance error,1,high,rule,
